CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad_Cliente,Comunidad
CLIX1528,8,6,1,1.0,1,0,0,1,1,0,0,0,2.0,0,0.0,0,1903,0,1,36,3
CLIX1529,8,6,1,1.0,1,0,0,1,1,0,0,0,2.0,1,0.0,1,1903,15541,2,55,14
CLIX1530,8,6,1,1.0,1,2,0,1,1,1,0,0,3.0,1,0.0,0,2799,14221,1,41,6
CLIX1531,8,6,1,1.0,1,2,0,1,1,1,0,0,3.0,1,0.0,0,2799,22744,1,44,14
CLIX1532,8,6,1,1.0,1,2,0,1,1,1,0,1,1.0,1,0.0,0,1903,11939,2,58,7
CLIX1533,8,6,1,1.0,1,2,0,1,1,1,0,0,2.0,1,0.0,0,2799,17691,1,40,14
CLIX1534,8,6,1,1.0,1,0,0,1,1,0,0,0,1.0,0,0.0,0,1903,0,2,21,18
CLIX1535,8,6,1,1.0,1,3,0,0,1,0,0,0,2.0,0,0.0,0,1903,0,2,67,11
CLIX1536,8,6,1,1.0,1,3,0,1,1,0,0,0,3.0,1,3.0,1,1903,16368,1,62,1
CLIX1537,8,6,1,1.0,1,3,0,1,1,0,0,0,1.0,0,0.0,0,1903,0,2,69,0
CLIX1538,8,6,1,1.0,1,0,0,1,1,0,0,0,3.0,0,3.0,1,1903,0,2,70,18
CLIX1539,8,6,1,1.0,1,0,0,1,1,0,0,0,1.0,0,0.0,0,1903,0,1,60,9
CLIX1540,8,6,1,1.0,1,0,3,1,1,0,0,0,3.0,0,0.0,0,1903,0,1,27,7
CLIX1541,8,6,1,1.0,1,2,0,1,1,1,0,0,2.0,0,0.0,0,5026,0,2,51,17
CLIX1542,8,6,1,1.0,1,0,0,1,1,0,0,0,2.0,0,1.0,0,1903,0,1,55,14
CLIX1543,8,6,1,1.0,1,2,0,1,1,1,0,0,3.0,0,0.0,0,2799,0,1,42,11
CLIX1544,8,6,1,1.0,1,3,0,0,1,0,0,0,3.0,0,0.0,0,1903,0,1,33,9
