CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo,Comunidad
CLI143,0,0,0,0.0,1,0,0,0,1,0,0,0,2.0,1,3.0,1,235,1818,9544,0,2,49,0,3
CLI144,0,0,0,0.0,1,2,3,1,1,0,0,1,3.0,0,0.0,0,183,2169,0,1,2,26,4,7
CLI145,0,0,0,0.0,1,2,0,1,1,1,0,1,3.0,0,2.0,0,164,1590,0,0,0,18,0,13
CLI146,0,0,0,0.0,1,2,3,0,2,1,0,0,3.0,0,0.0,0,195,2670,0,1,1,26,4,3
CLI147,0,0,0,0.0,1,0,0,1,1,1,0,0,3.0,0,0.0,0,16,1590,0,0,1,22,0,13
CLI148,0,0,0,0.0,1,0,0,1,2,1,0,0,2.0,0,0.0,0,245,2892,0,1,2,28,4,15
CLI149,0,0,0,0.0,1,3,3,1,1,1,0,0,1.0,0,3.0,1,222,2208,0,1,2,32,4,6
CLI150,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,3.0,1,19,2228,0,0,1,18,0,7
CLI151,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,1,0.0,0,239,3850,6988,1,2,54,7,7
CLI152,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,0,3.0,1,218,2015,0,0,2,23,0,9
CLI153,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,3.0,1,191,1590,0,0,2,24,0,7
CLI154,0,0,0,0.0,1,3,0,1,1,0,0,0,2.0,0,0.0,0,235,1376,0,0,2,29,0,15
CLI155,0,0,0,0.0,1,2,0,1,2,0,0,1,3.0,0,3.0,1,18,3254,0,0,0,28,0,7
CLI156,0,0,0,0.0,1,2,0,1,1,1,0,0,1.0,1,0.0,0,231,2015,7006,0,2,46,0,7
CLI157,0,0,0,0.0,1,0,3,1,1,0,0,0,2.0,0,0.0,0,204,1376,0,0,2,24,0,7
CLI158,0,0,0,0.0,1,2,0,0,1,0,0,1,3.0,0,0.0,0,174,2169,0,0,1,22,0,0
CLI159,0,0,0,0.0,1,0,0,0,1,1,0,0,3.0,0,3.0,1,223,4720,0,0,2,31,0,0
CLI160,0,0,0,0.0,1,0,0,1,1,0,0,0,2.0,0,1.0,0,217,1376,0,0,1,25,0,7
CLI161,0,0,0,0.0,1,2,3,1,1,0,0,1,3.0,0,3.0,1,13,2169,0,0,0,23,0,19
CLI162,0,0,0,0.0,1,2,0,1,1,1,0,1,1.0,1,0.0,0,224,1376,22798,0,2,38,0,15
CLI163,0,0,0,0.0,1,3,3,0,1,0,0,0,3.0,0,3.0,1,164,1590,0,0,1,21,0,15
CLI164,0,0,0,0.0,1,2,0,1,1,1,0,0,2.0,1,0.0,0,227,2015,20292,0,2,45,0,15
CLI165,0,0,0,0.0,1,0,3,1,1,0,0,0,2.0,0,2.0,0,221,1376,0,0,1,20,0,15
CLI166,0,0,0,0.0,1,2,0,1,1,0,0,1,3.0,0,0.0,0,17,2169,0,0,1,31,0,7
CLI167,0,0,0,0.0,1,3,0,1,1,0,0,0,3.0,0,2.0,0,222,920,0,0,2,29,0,7
CLI168,0,0,0,0.0,1,2,0,1,1,0,0,1,3.0,0,0.0,0,171,2169,0,0,1,28,0,15
CLI169,0,0,0,0.0,1,0,3,0,1,0,0,0,3.0,0,2.0,0,19,3213,0,1,2,30,5,15
CLI170,0,0,0,0.0,1,2,0,1,1,0,0,1,2.0,0,0.0,0,189,2169,0,0,1,20,0,7
CLI171,0,0,0,0.0,1,0,0,0,1,0,0,0,1.0,1,0.0,0,234,1376,5249,0,2,41,0,7
CLI172,0,0,0,0.0,1,0,0,0,1,0,0,0,2.0,0,1.0,0,185,2234,0,0,1,28,0,7
CLI173,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,3.0,1,214,4513,0,0,2,25,0,3
CLI174,0,0,0,0.0,1,3,3,1,1,1,0,0,3.0,1,2.0,0,233,1376,12530,1,2,26,5,5
CLI175,0,0,0,0.0,1,3,0,1,1,0,0,0,1.0,1,3.0,1,231,1818,5439,0,2,25,0,3
CLI176,0,0,0,0.0,1,0,3,1,1,1,0,0,3.0,1,0.0,0,235,2208,13414,1,2,37,6,15
CLI177,0,0,0,0.0,1,3,3,0,1,0,0,0,3.0,0,2.0,0,235,1818,0,0,2,29,0,3
