CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
CLIX9790;H;TIPO7;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Lerida;NO;NO;NO;NA;NO DATA;No;SI;1777;0;1;43
CLIX9791;J;TIPO7;FUEL 1;Alta;M;Contado;;;Empresa;Malaga;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;6182;11014;4;49
CLIX9792;J;TIPO7;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Lerida;NO;SI;NO;Medio-Bajo;NO DATA;No;SI;1380;16830;6;58
CLIX9793;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Vizcaya;NO;NO;NO;Medio;NO DATA;Averia grave;NO;732;0;7;36
CLIX9794;J;TIPO7;FUEL 2;Alta;M;Contado;;;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia grave;SI;0;15565;4;42
CLIX9795;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;Averia leve;NO;0;23161;4;37
CLIX9796;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;732;16815;7;38
CLIX9797;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Zaragoza;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;1459;20931;7;51
CLIX9798;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Gerona;NO;SI;NO;Medio-Bajo;NO DATA;Averia leve;SI;732;8961;7;37
CLIX9799;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;0;7545;8;50
CLIX9800;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;Averia grave;NO;1380;11198;5;61
CLIX9801;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Leon;NO;NO;NO;Medio-Bajo;SI;No;SI;0;9245;3;41
CLIX9802;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;NA;NO DATA;Averia muy grave;SI;1459;21523;4;49
